Reach ID,LSPC ID,Downstream ID,Downstream LSPC ID,Length (miles),Slope,Width (ft),Depth (ft),R1,R2,W1,Mannings n,Notes
Same as model subbasin,From LSPC Name Crosswalk,Same as model subbasin ds,From LSPC Name Crosswalk,From GIS Reach Lengths sheet,Avg slope from OCGIS Profiles,Weighted avg bankfull width from OCGIS web tool Lidar profile,Weighted avg bankfull depth from OCGIS web tool Lidar profiles,Weighted avg bottom width coefficient from OCGIS profiles,Weighted avg floodplain slope from OCGIS web tool Lidar profile,Weighted avg floodplain width coefficient from OCGIS profiles,Weighted avg n from channels shp and Mannings Crosswalk ,
I01-010,101010,-1,-1,1.05549,0.01343,27.5,9,0.28333,0.02,1.1,0.013,
I01-011,101011,I01-010,101010,0.79716,0.0118,33,9.5,0.10878,0.02316,1.52561,0.013,
I01-012,101012,I01-011,101011,1.18258,0.01205,42,8,0.09524,0.02,1.1,0.035,
I01-020,101020,I01-012,101012,0.68598,0.01515,175,6,0.76961,0.02,1.1,0.035,
J01-010,201010,-1,-1,1.19186,0.00114,72.5,8,0.46635,0.02,1.1,0.035,
J01-020,201020,J01-010,201010,3.62898,0.01061,156.51,18.32,0.27611,0.01998,1.0989,0.03497,
J01-030,201030,J01-020,201020,3.08731,0.0405,54.95,11.99,0.185,0.12321,0.6438,0.03497,
J01-031,201031,J01-030,201030,0,0.0127,0,0,0,0,0,0,LTT added slopes
J01-040,201040,J01-020,201020,0.97083,0.00274,105,13,0.52381,0.02,1.1,0.033,
J01-041,201041,J01-040,201040,1.5767,0.00823,62.5,7,0.36667,0.325,1.28333,0.035,
J01-050,201050,J04-010,204010,0,0,0,0,0,0,0,0,"Reservoir, nothing supported"
J01-060,201060,J01-041,201041,3.31193,0.01742,80,9,0.5125,0.06,1.45909,0.025,
J01-061,201061,J01-060,201060,0,0.0034,0,0,0,0,0,0,LTT added slopes
J01-062,201062,J01-060,201060,1.04545,0.00998,35,10,0.71429,0.02,1.1,0.013,
J01-070,201070,J01-062,201062,0,0.0035,0,0,0,0,0,0,LTT added slopes
J01-080,201080,J01-070,201070,1.77481,0.01572,85,26.5,0.23611,0.095,1.4875,0.0135,
J01-090,201090,J01-080,201080,1.28182,0.01457,60,12,0.16667,0.02,1.1,0.033,
J01-091,201091,J01-090,201090,2.79186,0.04388,61.61,6.99,0.32785,0.01998,1.0989,0.03497,
J01-100,201100,J01-091,201091,0.34091,0.02273,30,3.5,0.33333,0.06,0.71667,0.027,
J03-010,203010,J01-050,201050,1.69451,0.00805,105,11.5,0.21429,0.02,1.1,0.027,
J04-010,204010,J01-020,201020,0.53239,0.00237,42.5,5,0.28333,0.11,0.75,0.027,
J05-010,205010,J01-041,201041,0.73598,0.00703,93.75,6.25,0.18634,0.38,1.30625,0.033,
J07-010,207010,J01-070,201070,2.44962,0.02008,40,10,0.3,0.02,1.1,0.035,
K01-010,301010,-1,-1,0.66098,0.00833,126.25,8.75,0.50423,0.02,1.1,0.027,
K01-011,301011,K01-010,301010,1.19886,0.01578,18,5,0.16667,0.02,1.1,0.027,
K01-020,301020,K01-010,301010,0.9661,0.00455,155,16.5,0.19318,0.02,1.1,0.035,
K01-030,301030,K01-020,301020,1.14223,0.01705,55,7.5,0.57143,0.35,0.1875,0.035,
L01-010,401010,-1,-1,2.06572,0.00417,242.5,22,0.5359,0.02,1.1,0.017,
L01-020,401020,L01-010,401010,1.1875,0.00492,25,3.5,0.45833,0.225,5.33333,0.035,
L01-030,401030,L01-020,401020,3.86761,0.01231,33.13,3.69,0.40625,0.29688,6.25,0.0325,
L01-040,401040,L01-030,401030,1.56458,0.03447,66.6,5.33,0.55361,0.01998,1.0989,0.03497,
L01-050,401050,L01-040,401040,2.6928,0.04261,95,16,0.50568,0.02,1.1,0.035,
L01-060,401060,L01-030,401030,3.05095,0.01345,77.5,12.5,0.44293,0.02,1.1,0.035,
L01-070,401070,L01-060,401060,2.98125,0.02367,40,6,0.3125,0.02,1.1,0.035,
L01-080,401080,L01-060,401060,4.08258,0.05,76.25,10.5,0.25942,0.065,2.075,0.033,
L01-090,401090,L01-030,401030,3.85606,0.01288,63.27,7.33,0.55896,0.09657,2.81385,0.03497,
L01-100,401100,L01-090,401090,6.70909,0.0714,77.66,5.01,0.4346,0.07849,1.0521,0.03507,
L01-110,401110,L01-100,401100,3.1964,0.03041,55,4.5,0.68235,0.225,0.55,0.035,
L01-120,401120,L01-090,401090,9.85,0.01894,72.5,4.5,0.58571,0.35,2.18571,0.033,
L01-121,401121,L01-120,401120,0,0,0,0,0,0,0,0,
L02-010,402010,L01-010,401010,3.61288,0.01193,132,24.6,0.22134,0.02,1.1,0.0314,
L02-020,402020,L02-010,402010,1.5553,0.01358,115,26,0.17391,0.02,1.1,0.035,
L02-021,402021,L02-020,402020,1.9447,0.01042,73.25,10.52,0.322,0.0706,5.483,0.03395,
L02-022,402022,L02-021,402021,0.67765,0.01231,80,10,0.375,0.1,3.75,0.035,
L02-023,402023,L02-022,402022,2.64773,0.01629,65,4,0.19048,0.225,1.38095,0.035,
L02-030,402030,L02-023,402023,3.4608,0.03201,263.07,25.64,0.35691,0.07326,1.9203,0.03497,
L02-031,402031,L02-030,402030,1.34299,0.01716,150,6,0.9,0.02,1.1,0.035,
L02-040,402040,L02-031,402031,4.5089,0.02415,188,14,0.56667,0.116,1.54667,0.0286,
L02-041,402041,L02-040,402040,0,0.008341,0,0,0,0,0,0,LTT added slopes
L02-050,402050,L02-023,402023,1.48466,0.02118,140,11,0.14286,0.02,1.1,0.035,
L02-051,402051,L02-050,402050,1.95985,0.02178,45,7.5,0.3961,0.02,1.1,0.035,
L02-060,402060,L02-051,402051,0,0,0,0,0,0,0,0,
L03-010,403010,L02-010,402010,2.50379,0.01193,46.25,11.75,0.75682,0.02,1.1,0.0235,
L03-011,403011,L03-010,403010,0,0.001198,0,0,0,0,0,0,LTT added slopes
L03-020,403020,L03-011,403011,2.60322,0.03428,53.49,12.11,0.24896,0.02,1.1,0.027,
L03-030,403030,L03-020,403020,0.75814,0.01847,105,8.75,0.60625,0.02,1.1,0.0315,
L04-010,404010,L03-011,403011,1.61818,0.00871,33.8,8.4,0.53739,0.02,1.1,0.0218,
L05-010,405010,L01-020,401020,2.21174,0.00985,62.5,8.5,0.27564,0.02,1.1,0.035,
L05-020,405020,L05-010,405010,0.26098,0.01373,93.5,14.5,0.51515,0.02,1.1,0.024,
M01-010,501010,-1,-1,1.50625,0.02273,14.99,2.33,0.333,0.01998,1.0989,0.03497,
M01-011,501011,M01-010,501010,0,0.008918,0,0,0,0,0,0,LTT added slopes
M01-020,501020,M01-010,501010,0.20379,0.01894,72.5,11.5,0.0925,0.02,1.1,0.035,
M02-010,502010,-1,-1,0.82405,0.01894,25,12,0.6,0.02,1.1,0.013,
M02-011,502011,M02-010,502010,0.8786,0.0102,110,14,0.40909,0.02,1.1,0.035,
M02-020,502020,M02-011,502011,2.2233,0.02462,140,22.5,0.23889,0.02,1.1,0.035,
M02-030,502030,M02-011,502011,0,0,0,0,0,0,0,0,"Detention basin, nothing supported"
